MODELS,VERTICES,FACES,TRIANGLES,OBJECTS,MATERIALS
building_bridge-center_v01,"1,192",656,656,3,1
building_bridge-length_v01,392,208,208,3,1
building_bridge-ramp_v01,800,432,432,3,1
building_bridge-fork_v01,792,342,432,3,1
building_bridge-turn_v01,598,320,320,3,1
building_tunnel-center_v01,"3,752","2,112","2,112",11,3
building_tunnel-length_v01,"3,136","1,736","1,736",13,3
building_tunnel-ramp_v01,"3,348","1,832","1,832",13,3
building_tunnel-fork_v01,"3,452","1,840","1,840",14,3
building_tunnel-turn_v01,"2,426","1,358","1,358",15,3
building_bldg-innercorner_v01,"4,065","2,438","2,438",10,3
building_bldg-outercorner_v01,"3,260","1,650","1,650",11,3
building_bldg-length_v01,"1,904","1,024","1,024",7,3
building_ramp-red_v01,"7,150","3,776","3,776",11,2
building_ramp-yellow_v01,"4,744","2,552","2,552",7,2
building_townhouse_coffin_ v01,"1,568",672,672,37,3
building_townhouse-base_ v01,718,300,300,13,1
building_townhouse-base_ v01,1372,572,572,9,2
nature_cloud-01_v01,256,120,120,3,1
nature_cloud-02_v01,320,152,152,3,1
nature_cloud-03_v01,262,124,124,3,1
nature_cloud-04_v01,288,136,136,3,1
nature_cloud-05_v01,128,56,56,3,1
nature_cloud-06_v01,256,120,120,3,1
nature_cloud-07_v01,192,88,88,3,1
nature_cloud-08_v01,224,96,96,3,1
nature_cloud-09_v01,496,232,232,7,1
nature_cloud-10_v01,838,412,412,3,1
nature_tree-abstract_v01,3920,1680,1680,70,2
nature_tree-basic_v01,258,104,104,5,2
art_text-cryptovrontier_v01,"9,340",6272,6272,41,1
art_text-ile_v01,1672,1120,1120,11,1
art_text-dcllandscapes_v01,9544,6688,6688,37,1
terrrain_massing1_v01,448,168,168,3,1
terrrain_massing2_v01,474,184,184,3,1
